entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,equity
2024-01-08 19:00:00-05:00,2024-01-19 03:00:00-05:00,1,16791.0,17204.0,16378.0,17204.0,412.5,823.76,TP,823.76
2024-01-19 10:00:00-05:00,2024-01-19 12:00:00-05:00,1,17227.0,17306.5,17147.5,17306.5,79.0,156.76,TP,980.52
2024-01-21 23:00:00-05:00,2024-02-09 08:00:00-05:00,1,17555.0,17944.0,17166.0,17944.0,388.5,775.76,TP,1756.28
2024-02-11 20:00:00-05:00,2024-02-13 05:00:00-05:00,1,18039.25,17859.75,17859.75,18218.75,-180.0,-361.24,SL,1395.04
2024-02-13 14:00:00-05:00,2024-02-15 16:00:00-05:00,-1,17630.75,17963.5,17963.5,17298.0,-333.25,-667.74,SL,727.3
2024-02-15 21:00:00-05:00,2024-02-16 09:00:00-05:00,1,17935.25,17780.25,17780.25,18090.25,-155.5,-312.24,SL,415.05999999999995
2024-02-16 14:00:00-05:00,2024-02-20 09:00:00-05:00,-1,17802.0,17577.75,18026.25,17577.75,223.75,446.26,TP,861.3199999999999
2024-02-21 03:00:00-05:00,2024-02-21 14:00:00-05:00,-1,17555.75,17386.5,17725.0,17386.5,168.75,336.26,TP,1197.58
2024-02-22 01:00:00-05:00,2024-03-01 12:00:00-05:00,1,17816.75,18261.0,17372.5,18261.0,443.75,886.26,TP,2083.84
2024-03-03 18:00:00-05:00,2024-03-05 09:00:00-05:00,1,18335.5,18029.25,18029.25,18641.75,-306.75,-614.74,SL,1469.1000000000001
2024-03-06 01:00:00-05:00,2024-03-07 09:00:00-05:00,-1,17976.25,18183.0,18183.0,17769.5,-207.25,-415.74,SL,1053.3600000000001
2024-03-07 22:00:00-05:00,2024-03-11 09:00:00-04:00,1,18274.0,17915.5,17915.5,18632.5,-359.0,-719.24,SL,334.1200000000001
2024-03-11 15:00:00-04:00,2024-03-11 20:00:00-04:00,-1,17958.0,18052.0,18052.0,17864.0,-94.5,-190.24,SL,143.8800000000001
2024-03-12 06:00:00-04:00,2024-03-12 14:00:00-04:00,1,18054.5,18218.5,17890.5,18218.5,163.5,325.76,TP,469.6400000000001
2024-03-13 00:00:00-04:00,2024-03-14 15:00:00-04:00,1,18215.25,17929.75,17929.75,18500.75,-286.0,-573.24,SL,-103.59999999999991
2024-03-18 04:00:00-04:00,2024-03-20 16:00:00-04:00,1,18169.25,18507.0,17831.5,18507.0,337.25,673.26,TP,569.6600000000001
2024-03-21 07:00:00-04:00,2024-04-02 09:00:00-04:00,1,18611.0,18244.5,18244.5,18977.5,-367.0,-735.24,SL,-165.57999999999993
2024-04-02 18:00:00-04:00,2024-04-04 08:00:00-04:00,-1,18328.0,18511.25,18511.25,18144.75,-183.75,-368.74,SL,-534.3199999999999
2024-04-04 11:00:00-04:00,2024-04-04 14:00:00-04:00,1,18531.75,18410.5,18410.5,18653.0,-121.75,-244.74,SL,-779.06
2024-04-05 01:00:00-04:00,2024-04-17 12:00:00-04:00,-1,18099.5,17632.0,18567.0,17632.0,467.0,932.76,TP,153.70000000000005
2024-04-18 03:00:00-04:00,2024-04-18 16:00:00-04:00,-1,17740.0,17511.25,17968.75,17511.25,228.25,455.26,TP,608.96
2024-04-19 04:00:00-04:00,2024-04-24 01:00:00-04:00,-1,17413.0,17746.25,17746.25,17079.75,-333.75,-668.74,SL,-59.77999999999997
2024-04-24 06:00:00-04:00,2024-04-24 12:00:00-04:00,1,17709.25,17591.75,17591.75,17826.75,-118.0,-237.24,SL,-297.02
2024-04-24 16:00:00-04:00,2024-04-25 01:00:00-04:00,-1,17606.0,17416.25,17795.75,17416.25,189.25,377.26,TP,80.24000000000001
2024-04-25 21:00:00-04:00,2024-05-07 09:00:00-04:00,1,17761.25,18214.5,17308.0,18214.5,452.75,904.26,TP,984.5
2024-05-08 01:00:00-04:00,2024-05-08 07:00:00-04:00,1,18196.25,18150.75,18150.75,18241.75,-46.0,-93.24,SL,891.26
2024-05-08 15:00:00-04:00,2024-05-10 09:00:00-04:00,1,18194.25,18316.25,18072.25,18316.25,121.5,241.76,TP,1133.02
2024-05-13 05:00:00-04:00,2024-05-14 08:00:00-04:00,1,18296.25,18228.5,18228.5,18364.0,-68.25,-137.74,SL,995.28
