entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,equity
2026-03-23 10:45:00-04:00,2026-03-23 10:50:00-04:00,1,24625.0,24595.75,24595.75,24712.75,-29.75,-60.74,SL,-60.74
2026-03-23 12:15:00-04:00,2026-03-23 12:45:00-04:00,-1,24419.75,24419.75,24419.75,24281.75,-0.5,-2.24,SL,-62.980000000000004
2026-03-24 09:35:00-04:00,2026-03-24 10:00:00-04:00,-1,24226.75,24226.75,24226.75,23953.75,-0.5,-2.24,SL,-65.22
2026-03-24 11:35:00-04:00,2026-03-24 13:10:00-04:00,1,24356.25,24183.0,24183.0,24876.0,-173.75,-348.74,SL,-413.96000000000004
2026-03-25 09:30:00-04:00,2026-03-25 09:35:00-04:00,1,24449.75,24524.75,24424.75,24524.75,74.5,147.76,TP,-266.20000000000005
2026-03-25 10:50:00-04:00,2026-03-25 11:10:00-04:00,-1,24488.25,24404.25,24488.25,24404.25,83.5,165.76,TP,-100.44000000000005
2026-03-25 11:35:00-04:00,2026-03-25 12:20:00-04:00,-1,24414.5,24414.5,24414.5,24323.0,-0.5,-2.24,SL,-102.68000000000005
2026-03-26 11:30:00-04:00,2026-03-26 13:45:00-04:00,-1,24072.5,23900.75,24072.5,23900.75,171.25,341.26,TP,238.57999999999993
2026-03-27 10:20:00-04:00,2026-03-27 15:00:00-04:00,-1,23516.25,23322.25,23516.25,23122.5,193.5,385.76,EOD,624.3399999999999
2026-03-30 10:15:00-04:00,2026-03-30 10:45:00-04:00,-1,23327.75,23327.75,23327.75,23162.0,-0.5,-2.24,SL,622.0999999999999
2026-03-30 11:20:00-04:00,2026-03-30 12:05:00-04:00,1,23321.75,23321.75,23321.75,23441.75,-0.5,-2.24,SL,619.8599999999999
2026-03-30 13:00:00-04:00,2026-03-30 14:25:00-04:00,-1,23276.25,23157.75,23276.25,23157.75,118.0,234.76,TP,854.6199999999999
2026-03-31 10:15:00-04:00,2026-03-31 10:50:00-04:00,1,23559.5,23401.5,23401.5,24033.5,-158.5,-318.24,SL,536.3799999999999
2026-03-31 11:40:00-04:00,2026-03-31 12:20:00-04:00,-1,23491.0,23550.25,23550.25,23313.25,-59.75,-120.74,SL,415.6399999999999
2026-03-31 13:15:00-04:00,2026-03-31 15:00:00-04:00,1,23842.75,23869.0,23533.5,24770.5,25.75,50.26,EOD,465.89999999999986
2026-04-01 11:35:00-04:00,2026-04-01 14:20:00-04:00,1,24279.5,24168.0,24168.0,24614.0,-112.0,-225.24,SL,240.65999999999985
2026-04-02 11:10:00-04:00,2026-04-02 15:00:00-04:00,1,24172.5,24148.25,23864.75,25095.75,-24.75,-50.74,EOD,189.91999999999985
2026-04-06 11:20:00-04:00,2026-04-06 12:35:00-04:00,-1,24293.0,24337.75,24337.75,24158.75,-45.25,-91.74,SL,98.17999999999985
2026-04-07 10:35:00-04:00,2026-04-07 11:15:00-04:00,-1,24084.0,24084.0,24084.0,23724.0,-0.5,-2.24,SL,95.93999999999986
2026-04-07 12:45:00-04:00,2026-04-07 14:05:00-04:00,1,24212.25,24212.25,24212.25,24417.75,-0.5,-2.24,SL,93.69999999999986
2026-04-08 10:05:00-04:00,2026-04-08 11:45:00-04:00,-1,25074.0,25074.0,25074.0,24811.5,-0.5,-2.24,SL,91.45999999999987
2026-04-08 12:20:00-04:00,2026-04-08 13:20:00-04:00,1,25088.0,25088.0,25088.0,25167.5,-0.5,-2.24,SL,89.21999999999987
2026-04-09 11:00:00-04:00,2026-04-09 11:10:00-04:00,-1,25023.75,25052.75,25052.75,24936.75,-29.5,-60.24,SL,28.97999999999987
2026-04-09 11:45:00-04:00,2026-04-09 15:00:00-04:00,1,25144.0,25206.25,25144.0,25423.0,61.75,122.26,EOD,151.23999999999987
