entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,equity
2026-03-23 10:45:00-04:00,2026-03-23 10:50:00-04:00,1,24625.0,24595.75,24595.75,24683.5,-29.75,-60.74,SL,-60.74
2026-03-24 11:35:00-04:00,2026-03-24 13:10:00-04:00,1,24356.25,24183.0,24183.0,24702.75,-173.75,-348.74,SL,-409.48
2026-03-25 09:30:00-04:00,2026-03-25 09:35:00-04:00,1,24449.75,24499.75,24424.75,24499.75,49.5,97.76,TP,-311.72
2026-03-25 13:10:00-04:00,2026-03-25 13:40:00-04:00,1,24409.5,24467.0,24380.75,24467.0,57.0,112.76,TP,-198.96000000000004
2026-03-30 11:20:00-04:00,2026-03-30 11:35:00-04:00,1,23321.75,23401.75,23281.75,23401.75,79.5,157.76,TP,-41.200000000000045
2026-03-31 10:15:00-04:00,2026-03-31 10:50:00-04:00,1,23559.5,23401.5,23401.5,23875.5,-158.5,-318.24,SL,-359.44000000000005
2026-04-01 11:35:00-04:00,2026-04-01 14:20:00-04:00,1,24279.5,24168.0,24168.0,24502.5,-112.0,-225.24,SL,-584.6800000000001
2026-04-02 11:10:00-04:00,2026-04-02 15:00:00-04:00,1,24172.5,24148.25,23864.75,24788.0,-24.75,-50.74,EOD,-635.4200000000001
2026-04-07 12:45:00-04:00,2026-04-07 14:45:00-04:00,1,24212.25,24143.75,24143.75,24349.25,-69.0,-139.24,SL,-774.6600000000001
2026-04-08 12:20:00-04:00,2026-04-08 12:45:00-04:00,1,25088.0,25141.0,25061.5,25141.0,52.5,103.76,TP,-670.9000000000001
2026-04-09 11:45:00-04:00,2026-04-09 15:00:00-04:00,1,25144.0,25206.25,25051.0,25330.0,61.75,122.26,EOD,-548.6400000000001
2026-04-13 09:55:00-04:00,2026-04-13 15:00:00-04:00,1,25299.75,25446.0,25173.75,25551.75,145.75,290.26,EOD,-258.3800000000001
2026-04-14 10:05:00-04:00,2026-04-14 10:25:00-04:00,1,25735.0,25798.5,25703.25,25798.5,63.0,124.76,TP,-133.62000000000012
2026-04-14 11:10:00-04:00,2026-04-14 11:25:00-04:00,1,25785.5,25832.0,25762.25,25832.0,46.0,90.76,TP,-42.86000000000011
2026-04-14 12:45:00-04:00,2026-04-14 15:00:00-04:00,1,25935.25,25939.25,25874.25,26057.25,3.5,5.76,EOD,-37.100000000000115
2026-04-15 10:10:00-04:00,2026-04-15 14:35:00-04:00,1,26081.75,26281.25,25982.0,26281.25,199.0,396.76,TP,359.65999999999985
2026-04-16 11:35:00-04:00,2026-04-16 14:20:00-04:00,1,26506.25,26386.25,26386.25,26746.25,-120.5,-242.24,SL,117.41999999999985
2026-04-17 09:50:00-04:00,2026-04-17 15:00:00-04:00,1,26719.5,26785.25,26629.25,26900.0,65.25,129.26,EOD,246.67999999999984
2026-04-22 11:05:00-04:00,2026-04-22 15:00:00-04:00,1,26977.5,26996.0,26940.0,27052.5,18.0,34.76,EOD,281.4399999999998
2026-04-23 11:55:00-04:00,2026-04-23 12:00:00-04:00,1,27093.5,27060.75,27060.75,27159.0,-33.25,-67.74,SL,213.69999999999982
2026-04-24 11:40:00-04:00,2026-04-24 11:45:00-04:00,1,27335.25,27405.25,27300.25,27405.25,69.5,137.76,TP,351.4599999999998
2026-04-24 12:55:00-04:00,2026-04-24 15:00:00-04:00,1,27405.25,27415.75,27359.75,27496.25,10.0,18.76,EOD,370.2199999999998
2026-04-27 13:00:00-04:00,2026-04-27 15:00:00-04:00,1,27394.0,27399.75,27369.75,27442.5,5.25,9.26,EOD,379.4799999999998
2026-04-28 09:35:00-04:00,2026-04-28 10:35:00-04:00,1,27162.75,27068.0,27068.0,27352.25,-95.25,-191.74,SL,187.73999999999978
2026-04-29 11:15:00-04:00,2026-04-29 11:50:00-04:00,1,27254.5,27221.5,27221.5,27320.5,-33.5,-68.24,SL,119.49999999999979
2026-04-30 11:25:00-04:00,2026-04-30 11:35:00-04:00,1,27402.25,27372.5,27372.5,27461.75,-30.25,-61.74,SL,57.759999999999785
2026-05-01 10:20:00-04:00,2026-05-01 10:35:00-04:00,1,27894.25,27752.25,27752.25,28178.25,-142.5,-286.24,SL,-228.48000000000022
2026-05-04 10:35:00-04:00,2026-05-04 11:10:00-04:00,1,27908.25,27843.75,27843.75,28037.25,-65.0,-131.24,SL,-359.72000000000025
2026-05-05 10:20:00-04:00,2026-05-05 15:00:00-04:00,1,28087.25,28164.0,28031.5,28198.75,76.25,151.26,EOD,-208.46000000000026
2026-05-06 11:15:00-04:00,2026-05-06 12:55:00-04:00,1,28553.25,28517.75,28517.75,28624.25,-36.0,-73.24,SL,-281.7000000000003
2026-05-07 10:50:00-04:00,2026-05-07 12:00:00-04:00,1,28918.5,28770.25,28770.25,29215.0,-148.75,-298.74,SL,-580.4400000000003
2026-05-08 10:15:00-04:00,2026-05-08 13:00:00-04:00,1,29113.25,29256.75,29041.5,29256.75,143.0,284.76,TP,-295.6800000000003
2026-05-11 10:00:00-04:00,2026-05-11 10:25:00-04:00,1,29344.0,29300.5,29300.5,29431.0,-44.0,-89.24,SL,-384.9200000000003
2026-05-13 11:15:00-04:00,2026-05-13 15:00:00-04:00,1,29335.5,29490.25,29218.5,29569.5,154.25,307.26,EOD,-77.66000000000031
2026-05-14 10:15:00-04:00,2026-05-14 11:20:00-04:00,1,29605.75,29764.25,29526.5,29764.25,158.0,314.76,TP,237.09999999999968
2026-05-14 11:50:00-04:00,2026-05-14 12:25:00-04:00,1,29755.0,29727.5,29727.5,29810.0,-28.0,-57.24,SL,179.85999999999967
2026-05-15 10:40:00-04:00,2026-05-15 10:50:00-04:00,1,29357.5,29269.5,29269.5,29533.5,-88.5,-178.24,SL,1.6199999999996635
2026-05-19 11:30:00-04:00,2026-05-19 12:40:00-04:00,1,28819.75,28971.75,28743.75,28971.75,151.5,301.76,TP,303.37999999999965
2026-05-20 11:45:00-04:00,2026-05-20 12:15:00-04:00,1,29334.5,29283.5,29283.5,29436.5,-51.5,-104.24,SL,199.13999999999965
2026-05-21 13:00:00-04:00,2026-05-21 13:10:00-04:00,1,29270.25,29380.75,29215.0,29380.75,110.0,218.76,TP,417.89999999999964
2026-05-22 09:55:00-04:00,2026-05-22 10:00:00-04:00,1,29633.5,29587.25,29587.25,29726.0,-46.75,-94.74,SL,323.1599999999996
2026-05-26 12:55:00-04:00,2026-05-26 14:30:00-04:00,1,29983.5,30055.0,29947.75,30055.0,71.0,140.76,TP,463.9199999999996
2026-05-27 12:35:00-04:00,2026-05-27 13:00:00-04:00,1,30004.5,29973.0,29973.0,30067.5,-32.0,-65.24,SL,398.6799999999996
2026-05-28 10:40:00-04:00,2026-05-28 15:00:00-04:00,1,30166.5,30302.0,30062.25,30375.0,135.0,268.76,EOD,667.4399999999996
2026-05-29 12:00:00-04:00,2026-05-29 13:30:00-04:00,1,30385.5,30352.25,30352.25,30452.0,-33.75,-68.74,SL,598.6999999999996
