entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,equity
2026-03-23 12:15:00-04:00,2026-03-24 09:40:00-04:00,-1,24419.75,24149.25,24690.25,24149.25,270.0,538.76,TP,538.76
2026-03-24 10:10:00-04:00,2026-03-24 10:50:00-04:00,-1,24203.0,24317.75,24317.75,24088.25,-115.25,-231.74,SL,307.02
2026-03-24 12:30:00-04:00,2026-03-24 13:00:00-04:00,-1,24314.0,24242.5,24385.5,24242.5,71.0,140.76,TP,447.78
2026-03-24 13:40:00-04:00,2026-03-24 14:35:00-04:00,-1,24170.5,24315.75,24315.75,24025.25,-145.75,-292.74,SL,155.03999999999996
2026-03-25 10:50:00-04:00,2026-03-25 11:05:00-04:00,-1,24488.25,24450.25,24526.25,24450.25,37.5,73.76,TP,228.79999999999995
2026-03-25 11:35:00-04:00,2026-03-25 18:55:00-04:00,-1,24414.5,24309.25,24519.75,24309.25,104.75,208.26,TP,437.05999999999995
2026-03-26 11:15:00-04:00,2026-03-26 13:40:00-04:00,-1,24082.75,23922.75,24242.75,23922.75,159.5,317.76,TP,754.8199999999999
2026-03-26 14:15:00-04:00,2026-03-26 16:10:00-04:00,-1,23864.75,24018.25,24018.25,23711.25,-154.0,-309.24,SL,445.5799999999999
2026-03-27 09:50:00-04:00,2026-03-27 09:55:00-04:00,-1,23588.5,23519.75,23657.25,23519.75,68.25,135.26,TP,580.8399999999999
2026-03-27 10:20:00-04:00,2026-03-27 13:25:00-04:00,-1,23516.25,23385.0,23647.5,23385.0,130.75,260.26,TP,841.0999999999999
2026-03-27 13:55:00-04:00,2026-03-29 18:10:00-04:00,-1,23358.25,23186.75,23529.75,23186.75,171.0,340.76,TP,1181.86
2026-03-30 10:15:00-04:00,2026-03-30 14:50:00-04:00,-1,23327.75,23131.75,23523.75,23131.75,195.5,389.76,TP,1571.62
2026-03-31 11:40:00-04:00,2026-03-31 12:35:00-04:00,-1,23491.0,23588.0,23588.0,23394.0,-97.5,-196.24,SL,1375.3799999999999
2026-03-31 14:20:00-04:00,2026-03-31 15:00:00-04:00,-1,23813.75,23872.25,23872.25,23755.25,-59.0,-119.24,SL,1256.1399999999999
2026-04-01 14:15:00-04:00,2026-04-01 21:05:00-04:00,-1,24222.5,24096.5,24348.5,24096.5,125.5,249.76,TP,1505.8999999999999
2026-04-02 12:35:00-04:00,2026-04-02 12:40:00-04:00,-1,24073.5,24166.5,24166.5,23980.5,-93.5,-188.24,SL,1317.6599999999999
2026-04-02 14:15:00-04:00,2026-04-02 15:50:00-04:00,-1,24116.5,24183.0,24183.0,24050.0,-67.0,-135.24,SL,1182.4199999999998
2026-04-06 11:20:00-04:00,2026-04-06 21:50:00-04:00,-1,24293.0,24194.5,24391.5,24194.5,98.0,194.76,TP,1377.1799999999998
2026-04-07 10:35:00-04:00,2026-04-07 15:45:00-04:00,-1,24084.0,24308.25,24308.25,23859.75,-224.75,-450.74,SL,926.4399999999998
2026-04-08 10:05:00-04:00,2026-04-09 12:00:00-04:00,-1,25074.0,25237.5,25237.5,24910.5,-164.0,-329.24,SL,597.1999999999998
2026-04-09 14:20:00-04:00,2026-04-09 15:45:00-04:00,-1,25167.75,25257.25,25257.25,25078.25,-90.0,-181.24,SL,415.9599999999998
2026-04-10 12:30:00-04:00,2026-04-12 18:10:00-04:00,-1,25270.25,25147.25,25393.25,25147.25,122.5,243.76,TP,659.7199999999998
2026-04-14 14:40:00-04:00,2026-04-14 15:10:00-04:00,-1,25920.25,25969.5,25969.5,25871.0,-49.75,-100.74,SL,558.9799999999998
2026-04-15 13:40:00-04:00,2026-04-15 14:15:00-04:00,-1,26186.0,26251.75,26251.75,26120.25,-66.25,-133.74,SL,425.2399999999998
