slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
sol-updown-15m-1779848100,solana,2026-05-27 02:15:00+00:00,900,2334.084903999999,83.8,7.097074917341099e-05,15,DOWN,2,-0.15253360784455772,0.605,0.45246639215544227,0.41000000000000003,DOWN,True,0.605,0.585,
sol-updown-5m-1779849600,solana,2026-05-27 02:40:00+00:00,300,2322.3537780000006,83.63,7.501009429740173e-05,5,UP,1,0.16441450855481388,0.6,0.7644145085548139,0.615,UP,True,0.4,0.38,
sol-updown-15m-1779849000,solana,2026-05-27 02:30:00+00:00,900,2105.4419820000003,83.73,7.263490542785717e-05,15,DOWN,2,-0.1354091587441596,0.52,0.3845908412558404,0.495,DOWN,True,0.52,0.5,
eth-updown-5m-1779849600,ethereum,2026-05-27 02:40:00+00:00,300,6212.596566999997,2069.24,5.952172046624187e-05,5,UP,1,0.1040524648147434,0.605,0.7090524648147434,0.62,UP,True,0.395,0.375,
btc-updown-5m-1779849900,bitcoin,2026-05-27 02:45:00+00:00,300,63715.08480499995,75744.9,5e-05,5,UP,2,0.07161188756467529,0.575,0.6466118875646752,0.59,UP,True,0.42500000000000004,0.405,
sol-updown-5m-1779850200,solana,2026-05-27 02:50:00+00:00,300,2242.5327700000016,83.73,7.271732600898421e-05,5,DOWN,1,-0.06699460985546801,0.525,0.458005390144532,0.49,UP,False,-0.475,-0.495,
sol-updown-5m-1779850800,solana,2026-05-27 03:00:00+00:00,300,2981.7413229999993,83.96,7.549631985058278e-05,5,DOWN,1,-0.29693974344528684,0.535,0.2380602565547132,0.48,UP,False,-0.46499999999999997,-0.485,
btc-updown-5m-1779850800,bitcoin,2026-05-27 03:00:00+00:00,300,126257.64476299935,75879.01,5e-05,5,DOWN,1,-0.2500739387732661,0.505,0.2549260612267339,0.51,UP,False,-0.495,-0.515,
eth-updown-5m-1779850800,ethereum,2026-05-27 03:00:00+00:00,300,7851.5959290000055,2076.25,5.965942950729218e-05,5,DOWN,1,-0.14218447807974421,0.475,0.33281552192025576,0.54,UP,False,-0.525,-0.545,
btc-updown-5m-1779851100,bitcoin,2026-05-27 03:05:00+00:00,300,110099.32261399957,75924.39,5e-05,5,UP,1,0.25844845019016494,0.485,0.7434484501901649,0.5,UP,True,0.515,0.495,
sol-updown-15m-1779850800,solana,2026-05-27 03:00:00+00:00,900,3237.884437,83.96,7.549631985058278e-05,15,DOWN,1,-0.14306283761740712,0.495,0.35193716238259287,0.52,DOWN,True,0.495,0.475,
sol-updown-5m-1779851400,solana,2026-05-27 03:10:00+00:00,300,2115.589537,83.98,7.14957389969707e-05,5,DOWN,2,-0.12512125807589947,0.435,0.30987874192410053,0.58,DOWN,True,0.43500000000000005,0.41500000000000004,
btc-updown-5m-1779851400,bitcoin,2026-05-27 03:10:00+00:00,300,109027.03162399986,75923.43,5e-05,5,DOWN,1,-0.11477765458675293,0.615,0.5002223454132471,0.4,DOWN,True,0.615,0.595,
eth-updown-5m-1779851400,ethereum,2026-05-27 03:10:00+00:00,300,9403.447090000001,2078.61,5.469531973599866e-05,5,DOWN,1,-0.0709468444893353,0.455,0.3840531555106647,0.5599999999999999,DOWN,True,0.45500000000000007,0.43500000000000005,
sol-updown-5m-1779852000,solana,2026-05-27 03:20:00+00:00,300,3298.9866559999996,83.84,6.314584198171168e-05,5,UP,1,0.11666940082239863,0.335,0.45166940082239865,0.35000000000000003,UP,True,0.665,0.6449999999999999,
eth-updown-5m-1779852000,ethereum,2026-05-27 03:20:00+00:00,300,11012.169166999993,2076.65,5e-05,5,DOWN,1,-0.12333311615373593,0.405,0.2816668838462641,0.61,UP,False,-0.595,-0.615,
sol-updown-15m-1779851700,solana,2026-05-27 03:15:00+00:00,900,2876.731946999998,83.91,6.94626213564679e-05,15,DOWN,1,-0.06320268796581979,0.54,0.47679731203418024,0.475,DOWN,True,0.54,0.52,
eth-updown-15m-1779851700,ethereum,2026-05-27 03:15:00+00:00,900,11639.459049000001,2077.14,5.3653189356400964e-05,15,UP,4,0.07369215136318114,0.36,0.4336921513631811,0.375,DOWN,False,-0.36,-0.38,
sol-updown-5m-1779852600,solana,2026-05-27 03:30:00+00:00,300,1921.0150000000008,83.89,6.206604320075833e-05,5,UP,1,0.053087119704012364,0.545,0.5980871197040124,0.56,DOWN,False,-0.545,-0.5650000000000001,
sol-updown-5m-1779853200,solana,2026-05-27 03:40:00+00:00,300,4750.131078,83.72,5.9000263626326855e-05,5,UP,1,0.23953190068465763,0.46,0.6995319006846576,0.47500000000000003,DOWN,False,-0.46,-0.48000000000000004,
sol-updown-15m-1779852600,solana,2026-05-27 03:30:00+00:00,900,1725.2988099999998,83.89,6.206604320075833e-05,15,DOWN,2,-0.12206965679891046,0.595,0.4729303432010895,0.42000000000000004,DOWN,True,0.595,0.575,
btc-updown-5m-1779853500,bitcoin,2026-05-27 03:45:00+00:00,300,152795.22700400028,75764.0,5e-05,5,DOWN,2,-0.07885689194403989,0.505,0.4261431080559601,0.51,DOWN,True,0.505,0.485,
btc-updown-5m-1779853800,bitcoin,2026-05-27 03:50:00+00:00,300,150996.28964199987,75664.31,5e-05,5,UP,1,0.09646329482202937,0.445,0.5414632948220294,0.46,UP,True,0.5549999999999999,0.535,
sol-updown-5m-1779854100,solana,2026-05-27 03:55:00+00:00,300,3275.7306519999984,83.62,6.171268197774128e-05,5,DOWN,1,-0.08980929587137754,0.59,0.5001907041286224,0.42500000000000004,UP,False,-0.41000000000000003,-0.43000000000000005,
sol-updown-15m-1779853500,solana,2026-05-27 03:45:00+00:00,900,1825.2262970000006,83.72,5.875320305315785e-05,15,DOWN,1,-0.11762388600773904,0.59,0.4723761139922609,0.42500000000000004,DOWN,True,0.59,0.57,
btc-updown-5m-1779854100,bitcoin,2026-05-27 03:55:00+00:00,300,86837.42928899993,75673.28,5e-05,5,UP,1,0.07431669374877514,0.505,0.5793166937487751,0.52,DOWN,False,-0.505,-0.525,
eth-updown-15m-1779853500,ethereum,2026-05-27 03:45:00+00:00,900,8185.391966000007,2073.44,5e-05,15,DOWN,1,-0.051247803774251866,0.525,0.47375219622574816,0.49,DOWN,True,0.525,0.505,
sol-updown-5m-1779854400,solana,2026-05-27 04:00:00+00:00,300,2572.647527,83.62,5.759529592162532e-05,5,UP,1,0.09916999016539774,0.605,0.7041699901653977,0.62,UP,True,0.395,0.375,
btc-updown-5m-1779854400,bitcoin,2026-05-27 04:00:00+00:00,300,62445.317151000025,75683.0,5e-05,5,UP,1,0.05290563330056053,0.525,0.5779056333005606,0.54,DOWN,False,-0.525,-0.545,
eth-updown-5m-1779854400,ethereum,2026-05-27 04:00:00+00:00,300,11521.501883000006,2070.01,5.2024844141681775e-05,5,UP,1,0.16786150462382532,0.585,0.7528615046238253,0.6,DOWN,False,-0.585,-0.605,
btc-updown-5m-1779854700,bitcoin,2026-05-27 04:05:00+00:00,300,76597.45663600025,75658.83,5e-05,5,UP,1,0.16085565256268108,0.395,0.5558556525626811,0.41000000000000003,UP,True,0.605,0.585,
sol-updown-15m-1779854400,solana,2026-05-27 04:00:00+00:00,900,3080.2294419999994,83.62,5.759529592162532e-05,15,UP,1,0.1130706069574251,0.5,0.6130706069574251,0.515,DOWN,False,-0.5,-0.52,
