slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
sol-updown-5m-1779847500,solana,2026-05-27 02:05:00+00:00,300,1816.23401,83.83,6.475765463758648e-05,5,DOWN,1.0,-0.2288127650238705,0.505,0.2761872349761295,0.51,DOWN,True,0.505,0.485,
btc-updown-5m-1779847500,bitcoin,2026-05-27 02:05:00+00:00,300,48249.182692999995,75865.83,5e-05,5,DOWN,1.0,-0.24056397361819581,0.505,0.2644360263818042,0.51,DOWN,True,0.505,0.485,
sol-updown-15m-1779847200,solana,2026-05-27 02:00:00+00:00,900,1921.392893,83.85,6.140245393269591e-05,15,UP,1.0,0.11651350897136814,0.515,0.6315135089713682,0.53,DOWN,False,-0.515,-0.535,
sol-updown-5m-1779848100,solana,2026-05-27 02:15:00+00:00,300,2333.0591180000006,83.8,7.097074917341099e-05,5,DOWN,2.0,-0.24878572387996567,0.65,0.40121427612003435,0.365,DOWN,True,0.65,0.63,
btc-updown-5m-1779848100,bitcoin,2026-05-27 02:15:00+00:00,300,49479.385776999974,75811.94,5e-05,5,UP,1.0,0.0860475632276726,0.535,0.6210475632276726,0.55,DOWN,False,-0.535,-0.555,
eth-updown-5m-1779848100,ethereum,2026-05-27 02:15:00+00:00,300,4963.020924999999,2074.19,5.773504013584556e-05,5,DOWN,2.0,-0.05956602764437663,0.525,0.4654339723556234,0.49,DOWN,True,0.525,0.505,
sol-updown-5m-1779848400,solana,2026-05-27 02:20:00+00:00,300,1465.495858,83.6,7.452657749143309e-05,5,UP,1.0,0.2759280926173693,0.49,0.7659280926173693,0.505,UP,True,0.51,0.49,
eth-updown-5m-1779848400,ethereum,2026-05-27 02:20:00+00:00,300,5572.879776999995,2070.09,6.001411279040732e-05,5,UP,1.0,0.2954805482971814,0.535,0.8304805482971814,0.55,UP,True,0.46499999999999997,0.44499999999999995,
sol-updown-15m-1779848100,solana,2026-05-27 02:15:00+00:00,900,2334.084903999999,83.8,7.097074917341099e-05,15,DOWN,2.0,-0.15253360784455772,0.605,0.45246639215544227,0.41000000000000003,DOWN,True,0.605,0.585,
sol-updown-5m-1779848700,solana,2026-05-27 02:25:00+00:00,300,2280.870052000001,83.71,7.117903209798179e-05,5,DOWN,1.0,-0.09556171323488322,0.51,0.4144382867651168,0.505,UP,False,-0.49,-0.51,
btc-updown-5m-1779848700,bitcoin,2026-05-27 02:25:00+00:00,300,52405.630306999934,75756.59,5e-05,5,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
eth-updown-15m-1779848100,ethereum,2026-05-27 02:15:00+00:00,900,5939.263764000002,2074.19,5.773504013584556e-05,15,DOWN,2.0,-0.061373800239094445,0.545,0.4836261997609056,0.47,DOWN,True,0.545,0.525,
eth-updown-5m-1779848700,ethereum,2026-05-27 02:25:00+00:00,300,4575.397447000001,2071.29,5.800261982930946e-05,5,DOWN,1.0,-0.07547871240264425,0.535,0.4595212875973558,0.48,UP,False,-0.46499999999999997,-0.485,
